pattern,size,twotc,lhac_completion,lhac_completion_sd,gamip_completion,gamip_completion_sd,gamip_runtime_min,gamip_runtime_min_sd,lhac_tardy,lhac_tardy_sd,gamip_tardy,gamip_tardy_sd
Uniform,200,10%,100.0,0.0,100.0,0.0,3.6,1.9,0.0,0.0,0.2,0.05
Uniform,200,20%,100.0,0.0,100.0,0.0,3.9,2.1,0.2,0.05,0.5,0.1
Uniform,200,30%,100.0,0.0,100.0,0.0,3.9,2.0,0.5,0.08,0.8,0.12
Uniform,300,10%,99.5,0.12,100.0,0.0,67.0,10.0,0.5,0.08,1.0,0.15
Uniform,300,20%,99.0,0.16,100.0,0.0,66.0,10.0,1.0,0.15,1.8,0.22
Uniform,300,30%,97.5,0.28,100.0,0.0,119.0,15.0,1.5,0.2,2.5,0.3
Uniform,400,10%,98.0,0.24,100.0,0.0,185.0,15.0,1.2,0.18,2.0,0.25
Uniform,400,20%,96.5,0.32,99.5,0.26,228.0,30.0,2.0,0.25,3.2,0.35
Uniform,400,30%,95.0,0.44,98.0,0.8,191.0,25.0,3.0,0.3,4.5,0.45
Right-skewed,200,10%,100.0,0.0,100.0,0.0,124.0,15.0,0.0,0.0,0.3,0.05
Right-skewed,200,20%,100.0,0.0,100.0,0.0,90.0,18.0,0.3,0.05,0.6,0.1
Right-skewed,200,30%,100.0,0.0,100.0,0.0,65.0,12.0,0.5,0.08,1.0,0.15
Right-skewed,300,10%,99.8,0.08,100.0,0.0,184.0,20.0,0.6,0.1,1.2,0.18
Right-skewed,300,20%,99.5,0.12,100.0,0.0,152.0,30.0,1.2,0.18,2.2,0.25
Right-skewed,300,30%,98.5,0.24,100.0,0.0,125.0,20.0,1.8,0.22,3.0,0.32
Right-skewed,400,10%,99.0,0.16,100.0,0.0,244.0,20.0,1.5,0.18,2.5,0.28
Right-skewed,400,20%,97.5,0.28,100.0,0.0,248.0,30.0,2.5,0.28,3.8,0.4
Right-skewed,400,30%,96.0,0.4,99.0,0.95,152.0,80.0,3.5,0.35,5.0,0.5
Left-skewed,200,10%,100.0,0.0,100.0,0.0,3.8,2.2,0.2,0.04,0.5,0.08
Left-skewed,200,20%,100.0,0.0,100.0,0.0,4.1,2.4,0.5,0.08,1.0,0.15
Left-skewed,200,30%,99.5,0.12,100.0,0.0,4.1,2.4,0.8,0.12,1.2,0.18
Left-skewed,300,10%,99.0,0.16,100.0,0.0,4.6,2.6,1.0,0.15,1.8,0.22
Left-skewed,300,20%,98.0,0.28,99.5,0.26,5.1,3.0,1.8,0.22,2.8,0.3
Left-skewed,300,30%,96.0,0.44,98.5,0.64,5.7,3.3,2.5,0.28,3.5,0.38
Left-skewed,400,10%,97.5,0.28,99.0,0.42,6.0,3.5,2.0,0.22,3.0,0.32
Left-skewed,400,20%,95.5,0.4,97.5,0.8,85.0,40.0,3.2,0.3,4.5,0.45
Left-skewed,400,30%,93.0,0.56,96.0,1.3,112.0,35.0,4.0,0.38,5.5,0.55
